MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	LIBRARY	SAMPLE_NAME	FRAGMENT_LENGTH
107	93	19	76	279	115.515464	35.258011	97	FR	7	15	25	29	39	47	55	59	107	151	345	NA	19-140-02185-GER2106711	75
109.5	93	17	80	279	118.422222	34.963216	90	FR	7	13	21	27	35	43	53	59	103	147	341	NA	19-140-02185-GER2106711	80
114	93	18	85	279	122.506173	34.508739	81	FR	9	15	21	27	37	43	49	59	93	137	331	NA	19-140-02185-GER2106711	85
116	93	17	90	279	124.868421	34.330295	76	FR	7	13	21	25	33	41	47	63	95	139	327	NA	19-140-02185-GER2106711	90
119	104	15	95	279	126.477612	29.094599	68	FR	5	15	19	27	31	35	47	59	97	133	321	NA	19-140-02185-GER2106711	95
26	26	2	19	60	26.770186	3.786759	323	FR	1	1	3	3	5	5	7	11	13	19	25	NA	20-241-02247-GER2107103	0
38	37	1	37	60	38.375	2.722263	9	FR	1	1	1	3	3	3	3	15	45	45	45	NA	20-241-02247-GER2107103	37
38	38	0	38	60	38	0	5	FR	1	1	1	1	1	1	15	15	45	45	45	NA	20-241-02247-GER2107103	38
52.5	45	7.5	45	60	52.5	10.606602	2	FR	15	15	15	15	15	17	17	17	17	17	17	NA	20-241-02247-GER2107103	40
60	60	0	60	60	60	?	1	FR	1	1	1	1	1	1	1	1	1	1	1	NA	20-241-02247-GER2107103	50
60	60	0	60	60	60	?	1	FR	1	1	1	1	1	1	1	1	1	1	1	NA	20-241-02247-GER2107103	60
26	26	2	20	61	26.558824	2.951408	205	FR	1	1	1	3	5	5	5	9	11	13	19	NA	21-224-03194-GER2213013	0
49.5	38	11.5	38	61	49.5	16.263456	2	FR	23	23	23	23	23	25	25	25	25	25	25	NA	21-224-03194-GER2213013	37
49.5	38	11.5	38	61	49.5	16.263456	2	FR	23	23	23	23	23	25	25	25	25	25	25	NA	21-224-03194-GER2213013	38
61	61	0	61	61	61	?	1	FR	1	1	1	1	1	1	1	1	1	1	1	NA	21-224-03194-GER2213013	40
61	61	0	61	61	61	?	1	FR	1	1	1	1	1	1	1	1	1	1	1	NA	21-224-03194-GER2213013	50
61	61	0	61	61	61	?	1	FR	1	1	1	1	1	1	1	1	1	1	1	NA	21-224-03194-GER2213013	60
95	95	31	20	4338	102.537185	52.608412	9058	FR	13	25	37	51	63	79	95	113	143	223	419	NA	21-126-02027-GER2110438	0
98	95	30	37	4338	105.984812	51.195831	8648	FR	11	23	35	49	61	75	91	109	137	223	417	NA	21-126-02027-GER2110438	37
98	95	29	38	4338	106.387055	51.072341	8598	FR	11	23	35	47	59	75	91	109	137	223	417	NA	21-126-02027-GER2110438	38
99	95	29	40	4338	107.587349	50.710819	8449	FR	11	23	35	47	59	73	89	107	137	223	417	NA	21-126-02027-GER2110438	40
104	95	28	50	4338	112.565	48.980452	7826	FR	13	21	33	43	57	69	83	99	131	223	425	NA	21-126-02027-GER2110438	50
109	95	26	60	4338	117.75014	47.383949	7170	FR	11	21	31	41	53	65	79	91	131	221	417	NA	21-126-02027-GER2110438	60
111	95	25	65	4338	120.463479	46.254821	6813	FR	11	21	31	39	51	63	75	87	133	223	415	NA	21-126-02027-GER2110438	65
113	95	24	70	4338	123.092025	45.302252	6474	FR	11	19	29	39	49	61	71	83	133	223	423	NA	21-126-02027-GER2110438	70
116	95	23	75	4338	126.014677	44.476673	6109	FR	9	19	29	39	47	57	69	81	135	229	419	NA	21-126-02027-GER2110438	75
119	95	23	80	4338	129.112683	44.458499	5765	FR	9	17	27	37	47	57	67	77	139	231	419	NA	21-126-02027-GER2110438	80
121	95	22	85	4338	132.160674	43.474096	5388	FR	9	17	25	35	45	55	63	73	143	237	427	NA	21-126-02027-GER2110438	85
124	95	22	90	4338	135.484265	43.526817	5034	FR	9	17	25	35	45	53	61	71	149	235	435	NA	21-126-02027-GER2110438	90
126	95	20	95	4338	138.691382	42.040218	4631	FR	9	17	25	33	41	51	59	73	157	241	437	NA	21-126-02027-GER2110438	95
26	26	2	19	70	26.313043	3.607842	694	FR	1	1	3	3	5	5	7	9	13	17	37	NA	20-107-02755-GER2110277	0
40	38	3	37	70	45.5625	10.874856	16	FR	3	5	5	5	7	9	9	41	45	61	61	NA	20-107-02755-GER2110277	37
42.5	38	4.5	38	70	46.785714	11.116022	14	FR	5	5	7	7	9	9	9	37	41	57	57	NA	20-107-02755-GER2110277	38
52	44	8	41	70	53.125	11.051018	8	FR	17	17	17	17	17	17	21	23	37	37	37	NA	20-107-02755-GER2110277	40
61	60	1	60	70	63	4.760952	4	FR	3	3	3	3	3	3	3	19	19	19	19	NA	20-107-02755-GER2110277	50
61	60	1	60	70	63	4.760952	4	FR	3	3	3	3	3	3	3	19	19	19	19	NA	20-107-02755-GER2110277	60
70	70	0	70	70	70	?	1	FR	1	1	1	1	1	1	1	1	1	1	1	NA	20-107-02755-GER2110277	65
70	70	0	70	70	70	?	1	FR	1	1	1	1	1	1	1	1	1	1	1	NA	20-107-02755-GER2110277	70
27	26	3	20	166	27.879377	5.06954	307	FR	3	3	3	5	7	9	9	21	117	189	251	NA	19-148-04308-GER2106799	0
80	37	28	37	166	88.142857	36.646461	63	FR	19	23	35	45	57	67	85	93	127	145	173	NA	19-148-04308-GER2106799	37
85.5	40	27.5	38	166	90.7	35.659548	60	FR	11	29	37	45	55	71	77	91	117	135	163	NA	19-148-04308-GER2106799	38
86	40	28	40	166	91.59322	35.282172	59	FR	11	31	37	47	57	69	79	93	121	147	161	NA	19-148-04308-GER2106799	40
90	58	27	50	166	97	33.071601	53	FR	11	25	39	47	55	63	71	77	113	139	153	NA	19-148-04308-GER2106799	50
101	63	27	60	166	102.340426	31.267622	47	FR	13	25	39	47	55	63	69	77	95	117	131	NA	19-148-04308-GER2106799	60
105.5	66	22.5	66	166	107.142857	29.573861	42	FR	9	29	33	41	47	55	69	77	87	109	123	NA	19-148-04308-GER2106799	65
110.5	71	21.5	70	166	111.368421	27.864946	38	FR	13	21	31	37	43	49	67	77	85	103	113	NA	19-148-04308-GER2106799	70
118	89	20	76	166	116.058824	25.592306	34	FR	9	17	21	29	35	57	59	69	83	87	97	NA	19-148-04308-GER2106799	75
120.5	89	19	80	166	118.5	24.342979	32	FR	9	15	17	25	37	53	61	65	79	83	93	NA	19-148-04308-GER2106799	80
121	89	19	85	166	119.741935	23.692429	31	FR	9	13	19	25	39	51	61	65	73	81	91	NA	19-148-04308-GER2106799	85
125	128	18	90	166	124.555556	21.464341	27	FR	5	7	15	19	37	43	47	61	71	73	83	NA	19-148-04308-GER2106799	90
126	128	17	95	166	127.28	19.86731	25	FR	3	5	13	13	35	39	45	51	67	71	81	NA	19-148-04308-GER2106799	95
26	26	2	20	60	27.461883	3.782026	225	FR	1	1	3	3	5	5	9	11	17	19	39	NA	21-253-02293-GER2213018	0
42	38	4	38	60	46.666667	10.652073	6	FR	7	7	7	9	9	9	37	37	37	37	37	NA	21-253-02293-GER2213018	37
42	38	4	38	60	46.666667	10.652073	6	FR	7	7	7	9	9	9	37	37	37	37	37	NA	21-253-02293-GER2213018	38
60	60	0	45	60	55	8.660254	3	FR	1	1	1	1	1	1	31	31	31	31	31	NA	21-253-02293-GER2213018	40
60	60	0	60	60	60	0	2	FR	1	1	1	1	1	1	1	1	1	1	1	NA	21-253-02293-GER2213018	50
60	60	0	60	60	60	0	2	FR	1	1	1	1	1	1	1	1	1	1	1	NA	21-253-02293-GER2213018	60
93	54	29	19	536	95.566532	44.183253	14074	FR	11	23	35	47	59	73	85	101	119	143	337	NA	19-255-02002-GER2110329	0
94	54	28	37	536	97.712335	43.217898	13633	FR	11	23	35	45	57	71	83	97	113	141	337	NA	19-255-02002-GER2110329	37
94	54	28	38	536	98.197602	43.046689	13525	FR	11	23	35	45	57	71	83	95	113	141	339	NA	19-255-02002-GER2110329	38
95	54	28	40	536	99.240361	42.685526	13293	FR	11	23	33	45	57	69	83	95	111	141	339	NA	19-255-02002-GER2110329	40
100	54	25	50	536	104.142151	40.389922	12158	FR	11	21	29	39	51	63	77	89	101	137	335	NA	19-255-02002-GER2110329	50
106	94	22	60	536	110.399051	38.072327	10782	FR	9	19	27	35	45	57	69	81	95	133	341	NA	19-255-02002-GER2110329	60
108	94	21	65	536	112.913381	36.74289	10210	FR	9	17	25	33	43	53	65	77	93	135	345	NA	19-255-02002-GER2110329	65
110	94	20	70	536	115.452016	35.586152	9644	FR	7	17	23	33	41	51	61	73	91	135	349	NA	19-255-02002-GER2110329	70
111	94	19	75	536	117.650199	33.81193	9096	FR	7	15	23	31	39	47	57	67	93	139	357	NA	19-255-02002-GER2110329	75
114	94	19	80	536	120.501	33.968851	8558	FR	7	13	21	29	39	45	55	65	91	143	361	NA	19-255-02002-GER2110329	80
116	94	18	85	536	122.487476	32.020848	8026	FR	7	15	21	29	37	45	51	61	89	145	363	NA	19-255-02002-GER2110329	85
118	94	17	90	536	125.234322	30.977107	7410	FR	7	13	19	27	35	43	49	57	89	157	361	NA	19-255-02002-GER2110329	90
121	95	16	95	536	128.330122	30.066325	6743	FR	7	13	19	25	33	39	47	55	87	167	363	NA	19-255-02002-GER2110329	95
96	95	31	19	789	107.260314	56.66111	169059	FR	11	25	37	49	63	77	93	111	173	267	451	NA	20-002-01546-GER2107063	0
97	95	31	37	789	108.577351	56.331428	166105	FR	11	25	35	49	63	77	91	109	173	267	453	NA	20-002-01546-GER2107063	37
97	95	30	38	789	108.997749	55.921363	164885	FR	11	25	35	49	61	75	91	109	175	267	453	NA	20-002-01546-GER2107063	38
98	95	30	40	789	110.132443	55.672448	162307	FR	11	23	35	47	61	75	89	107	177	267	453	NA	20-002-01546-GER2107063	40
103	95	28	50	789	114.845868	53.942588	150927	FR	13	23	33	45	57	71	87	101	181	263	453	NA	20-002-01546-GER2107063	50
109	95	26	60	789	120.840519	52.119254	136663	FR	11	23	31	41	53	65	79	95	187	261	455	NA	20-002-01546-GER2107063	60
111	95	25	65	789	123.575964	51.26327	130246	FR	11	21	31	41	51	63	77	91	189	259	457	NA	20-002-01546-GER2107063	65
113	95	24	70	789	126.396979	50.399541	123633	FR	9	21	31	39	49	61	73	87	191	259	461	NA	20-002-01546-GER2107063	70
116	95	24	75	789	129.779099	50.253308	116678	FR	11	19	29	41	49	59	71	83	193	259	465	NA	20-002-01546-GER2107063	75
119	95	24	80	789	132.880599	50.166386	110383	FR	11	19	27	39	49	57	69	83	193	259	461	NA	20-002-01546-GER2107063	80
121	95	23	85	789	136.179516	49.399631	103205	FR	9	19	27	37	47	57	65	89	195	265	465	NA	20-002-01546-GER2107063	85
124	95	23	90	789	139.770601	49.549839	96477	FR	9	19	27	35	47	55	63	91	197	265	469	NA	20-002-01546-GER2107063	90
129	95	21	95	789	144.027581	48.206443	87555	FR	9	19	27	35	43	55	65	99	197	267	471	NA	20-002-01546-GER2107063	95
28	31	3	19	126	28.830189	5.332261	166	FR	3	5	5	7	7	7	9	13	17	55	173	NA	19-277-03481-GER2110395	0
63	45	15.5	45	126	71.916667	26.623497	12	FR	5	15	17	19	29	37	43	55	103	127	127	NA	19-277-03481-GER2110395	37
63	45	15.5	45	126	71.916667	26.623497	12	FR	5	15	17	19	29	37	43	55	103	127	127	NA	19-277-03481-GER2110395	38
63	45	15.5	45	126	71.916667	26.623497	12	FR	5	15	17	19	29	37	43	55	103	127	127	NA	19-277-03481-GER2110395	40
72	55	16	55	126	80.333333	25.588083	9	FR	1	15	23	25	33	35	37	85	109	109	109	NA	19-277-03481-GER2110395	50
84	61	19	61	126	87.428571	24.670206	7	FR	1	13	25	25	39	47	47	61	85	85	85	NA	19-277-03481-GER2110395	60
87	65	18.5	65	126	91.833333	23.81946	6	FR	7	7	7	31	31	45	55	55	79	79	79	NA	19-277-03481-GER2110395	65
90	72	18	72	126	97.2	22.208107	5	FR	1	1	13	13	37	37	49	49	73	73	73	NA	19-277-03481-GER2110395	70
102	84	15	84	126	103.5	19.824228	4	FR	25	25	25	25	25	37	37	49	49	49	49	NA	19-277-03481-GER2110395	75
102	84	15	84	126	103.5	19.824228	4	FR	25	25	25	25	25	37	37	49	49	49	49	NA	19-277-03481-GER2110395	80
114	90	12	90	126	110	18.330303	3	FR	1	1	1	25	25	25	49	49	49	49	49	NA	19-277-03481-GER2110395	85
114	90	12	90	126	110	18.330303	3	FR	1	1	1	25	25	25	49	49	49	49	49	NA	19-277-03481-GER2110395	90
120	114	6	114	126	120	8.485281	2	FR	13	13	13	13	13	13	13	13	13	13	13	NA	19-277-03481-GER2110395	95
60	26	34	20	418	77.792308	62.280581	781	FR	21	41	59	67	69	71	81	117	191	291	533	NA	18-274-02688-GER2213037	0
95	72	32	37	418	110.669474	59.991439	476	FR	11	25	35	47	65	81	97	113	201	291	469	NA	18-274-02688-GER2213037	37
95	72	31.5	38	418	111.295117	59.858343	472	FR	11	25	35	47	63	81	97	113	201	291	469	NA	18-274-02688-GER2213037	38
96	72	30	40	418	112.550756	59.598958	464	FR	11	23	35	47	61	79	93	113	199	289	467	NA	18-274-02688-GER2213037	40
103	72	31	50	418	116.981609	58.782067	436	FR	15	23	31	47	63	77	93	105	203	277	453	NA	18-274-02688-GER2213037	50
108	72	29.5	60	418	124.023018	57.902455	392	FR	9	23	33	45	59	73	85	95	195	269	445	NA	18-274-02688-GER2213037	60
111	72	29	65	418	127.390836	57.545806	372	FR	9	21	35	45	59	73	81	97	195	275	439	NA	18-274-02688-GER2213037	65
112	72	28	70	418	129.238889	57.423304	361	FR	11	19	35	43	57	71	81	99	201	273	437	NA	18-274-02688-GER2213037	70
116	92	26	75	418	134.484848	57.155268	331	FR	9	19	37	47	53	67	75	93	203	301	429	NA	18-274-02688-GER2213037	75
118	92	26	80	418	138.032154	56.987199	312	FR	11	21	31	47	53	63	71	99	223	299	425	NA	18-274-02688-GER2213037	80
121	92	28	85	418	141.702055	56.905513	293	FR	13	23	31	47	57	61	67	105	231	293	475	NA	18-274-02688-GER2213037	85
125.5	92	26.5	90	418	145.058182	56.963014	276	FR	15	27	33	43	55	61	69	105	229	307	467	NA	18-274-02688-GER2213037	90
136	112	26	95	418	152.783333	56.998742	241	FR	15	29	35	47	53	61	79	117	209	293	445	NA	18-274-02688-GER2213037	95
26	26	2	19	218	26.9125	3.574624	677	FR	1	1	1	3	5	5	9	11	17	69	217	NA	21-048-02325-GER2106861	0
82	38	26.5	37	218	88.166667	46.153921	48	FR	19	29	43	45	53	77	89	91	159	177	273	NA	21-048-02325-GER2106861	37
83.5	38	25	38	218	90.391304	45.863313	46	FR	17	27	41	45	51	69	89	91	157	175	271	NA	21-048-02325-GER2106861	38
94.5	61	30	41	218	98.225	44.096332	40	FR	5	19	27	45	57	67	79	103	135	153	249	NA	21-048-02325-GER2106861	40
95	61	25	54	218	102.783784	42.681075	37	FR	3	17	25	35	51	69	71	81	149	245	247	NA	21-048-02325-GER2106861	50
98	61	21	60	218	106.941176	42.040342	34	FR	7	11	21	35	41	71	73	77	143	239	241	NA	21-048-02325-GER2106861	60
103.5	95	18	66	218	116.714286	39.983198	28	FR	3	11	17	27	35	45	63	105	135	229	231	NA	21-048-02325-GER2106861	65
104	95	16	70	218	118.592593	39.465914	27	FR	3	9	19	25	33	47	59	103	133	227	229	NA	21-048-02325-GER2106861	70
105.5	95	14.5	78	218	120.461538	39.009979	26	FR	5	11	21	23	29	45	57	101	131	225	227	NA	21-048-02325-GER2106861	75
107	95	13	81	218	122.16	38.820828	25	FR	7	9	21	25	27	47	53	97	127	221	223	NA	21-048-02325-GER2106861	80
112	95	17	91	218	127.545455	38.326576	22	FR	11	17	19	25	35	43	45	99	117	211	213	NA	21-048-02325-GER2106861	85
112	95	17	91	218	127.545455	38.326576	22	FR	11	17	19	25	35	43	45	99	117	211	213	NA	21-048-02325-GER2106861	90
116.5	95	17	95	218	131.05	38.485096	20	FR	3	17	25	27	35	41	43	91	109	203	205	NA	21-048-02325-GER2106861	95
92	95	29	19	798	95.57069	42.551141	114384	FR	11	23	35	47	59	71	85	101	117	141	307	NA	20-132-00678-GER2106914	0
93	95	28	37	798	97.220888	41.750972	111452	FR	11	23	35	45	57	69	83	99	113	137	307	NA	20-132-00678-GER2106914	37
93	95	28	38	798	97.690695	41.571981	110590	FR	11	23	33	45	57	69	81	97	111	139	309	NA	20-132-00678-GER2106914	38
94	95	27	40	798	98.730411	41.010692	108596	FR	11	21	33	43	55	69	81	95	111	137	309	NA	20-132-00678-GER2106914	40
98	95	25	50	798	103.764232	38.857501	99276	FR	11	21	29	41	51	63	75	87	105	135	311	NA	20-132-00678-GER2106914	50
104	95	23	60	798	109.309443	36.802226	89078	FR	11	19	27	37	47	57	69	81	97	129	309	NA	20-132-00678-GER2106914	60
106	95	22	65	798	111.885326	35.872747	84410	FR	11	19	27	35	45	55	65	77	95	127	307	NA	20-132-00678-GER2106914	65
109	95	21	70	798	114.522866	34.941668	79610	FR	9	19	27	33	43	53	63	73	91	125	307	NA	20-132-00678-GER2106914	70
111	95	20	75	798	117.303391	33.910591	74542	FR	9	17	25	33	41	49	59	69	89	127	309	NA	20-132-00678-GER2106914	75
114	95	20	80	798	120.177064	33.453879	69669	FR	9	15	23	33	41	47	57	67	87	125	309	NA	20-132-00678-GER2106914	80
116	95	19	85	798	122.969418	32.55275	64722	FR	9	15	23	31	39	45	53	63	85	129	311	NA	20-132-00678-GER2106914	85
119	95	18	90	798	125.741647	31.729422	59883	FR	7	15	21	29	37	45	51	59	83	133	313	NA	20-132-00678-GER2106914	90
122	95	17	95	798	129.401673	30.742166	53743	FR	7	15	21	27	35	43	49	55	81	145	319	NA	20-132-00678-GER2106914	95
68	26	42	20	307	79.449057	57.541012	795	FR	25	47	67	81	85	85	89	117	181	255	365	NA	20-069-03676-GER2107100	0
104	92	33	37	307	111.432323	50.986334	495	FR	15	25	35	49	67	75	103	121	151	213	309	NA	20-069-03676-GER2107100	37
104.5	92	32.5	38	307	111.886179	50.807805	492	FR	15	25	35	49	65	75	99	121	151	213	309	NA	20-069-03676-GER2107100	38
105	92	32	40	307	112.790123	50.460122	486	FR	13	25	35	49	65	75	97	121	151	211	307	NA	20-069-03676-GER2107100	40
110	92	28	50	307	119.268018	47.961212	444	FR	11	25	37	47	57	73	87	105	161	201	297	NA	20-069-03676-GER2107100	50
112	92	27	60	307	122.053991	46.959451	426	FR	11	23	37	45	55	65	85	99	159	197	293	NA	20-069-03676-GER2107100	60
113.5	92	25.5	65	307	124.696078	46.227679	408	FR	11	21	37	45	51	63	81	95	165	205	291	NA	20-069-03676-GER2107100	65
116	92	25	70	307	127.641753	45.495697	388	FR	11	21	35	43	51	63	77	93	163	203	321	NA	20-069-03676-GER2107100	70
119	92	25	75	307	130.997268	44.669287	366	FR	11	25	31	41	51	61	73	89	157	199	315	NA	20-069-03676-GER2107100	75
122	92	27	80	307	132.361345	44.382922	357	FR	13	23	31	37	55	63	73	85	151	193	309	NA	20-069-03676-GER2107100	80
124	92	26	85	307	135.826347	43.805053	334	FR	13	23	29	37	53	63	69	85	147	197	305	NA	20-069-03676-GER2107100	85
130.5	92	25	90	307	138.914013	43.377925	314	FR	13	19	29	41	51	63	73	81	147	191	293	NA	20-069-03676-GER2107100	90
135.5	136	24.5	95	307	144.632143	42.516752	280	FR	7	17	31	41	49	59	67	85	149	201	339	NA	20-069-03676-GER2107100	95
53	26	27	20	225	65.610902	40.905993	532	FR	15	27	37	51	55	55	65	97	145	181	271	NA	20-268-01535-GER2106776	0
82	41	27	37	225	85.818444	37.200502	347	FR	11	21	33	43	55	67	77	87	109	143	249	NA	20-268-01535-GER2106776	37
82	41	27	38	225	86.387755	37.03868	343	FR	11	21	33	43	55	65	77	85	109	143	249	NA	20-268-01535-GER2106776	38
83.5	41	25.5	40	225	87.96988	36.594524	332	FR	13	19	31	41	53	63	75	83	109	141	247	NA	20-268-01535-GER2106776	40
90	53	23	50	225	95.921708	34.183762	281	FR	9	17	27	37	47	59	67	77	103	135	241	NA	20-268-01535-GER2106776	50
96	77	20	60	225	102.403292	32.231118	243	FR	9	15	23	31	41	51	61	71	95	129	229	NA	20-268-01535-GER2106776	60
99	77	19	66	225	106.058296	31.132255	223	FR	9	15	23	31	39	47	57	65	93	137	223	NA	20-268-01535-GER2106776	65
101	77	19	70	225	107.901408	30.639484	213	FR	7	17	23	31	39	49	55	63	99	141	219	NA	20-268-01535-GER2106776	70
103.5	77	18.5	75	225	111.838542	29.726678	192	FR	7	13	23	29	37	43	51	59	95	137	233	NA	20-268-01535-GER2106776	75
107	91	17	81	225	114.785311	29.105201	177	FR	9	17	21	31	35	43	47	55	93	129	225	NA	20-268-01535-GER2106776	80
110	91	17	85	225	117.975155	28.608336	161	FR	9	15	23	27	35	39	45	57	87	123	219	NA	20-268-01535-GER2106776	85
115.5	91	16.5	90	225	121.631944	28.06978	144	FR	9	15	23	27	33	39	47	53	85	115	209	NA	20-268-01535-GER2106776	90
120	99	17	95	225	125.920635	27.437377	126	FR	7	13	19	27	35	39	45	51	81	129	199	NA	20-268-01535-GER2106776	95
90	54	28	20	460	93.453047	41.399479	17350	FR	11	21	33	45	57	69	81	97	117	141	299	NA	20-114-01309-GER2110248	0
92	54	27	37	460	95.780348	40.293672	16734	FR	9	19	31	43	55	67	79	93	109	137	295	NA	20-114-01309-GER2110248	37
92	54	27	38	460	96.254926	40.106937	16600	FR	9	19	31	43	55	67	77	93	109	137	295	NA	20-114-01309-GER2110248	38
93	54	26	40	460	97.40751	39.659125	16275	FR	9	19	31	41	53	65	77	91	107	137	293	NA	20-114-01309-GER2110248	40
96	54	24	50	460	102.028123	37.974711	14973	FR	9	19	29	37	49	59	71	83	103	135	287	NA	20-114-01309-GER2110248	50
101	94	21	60	460	107.45754	35.901971	13400	FR	11	17	25	35	43	53	65	77	97	135	283	NA	20-114-01309-GER2110248	60
103	94	20	65	460	110.237468	35.022382	12621	FR	9	17	25	33	41	51	61	71	95	133	283	NA	20-114-01309-GER2110248	65
106	94	20	70	460	112.863415	34.41274	11902	FR	9	17	25	31	41	49	57	69	91	131	279	NA	20-114-01309-GER2110248	70
109	94	19	75	460	115.420351	33.720343	11189	FR	9	17	25	31	39	47	55	65	87	133	277	NA	20-114-01309-GER2110248	75
111	94	18	80	460	117.940744	33.108592	10482	FR	7	17	23	31	37	45	53	61	85	139	279	NA	20-114-01309-GER2110248	80
114	94	18	85	460	121.230175	32.676367	9603	FR	7	15	23	29	37	43	51	59	85	145	281	NA	20-114-01309-GER2110248	85
117	94	17	90	460	124.521799	32.108774	8740	FR	7	13	21	29	35	43	47	55	85	155	281	NA	20-114-01309-GER2110248	90
121	95	16	95	460	128.231778	31.524681	7810	FR	7	13	19	25	33	39	47	53	83	167	281	NA	20-114-01309-GER2110248	95
71	31	37	20	351	80.494533	48.983287	2378	FR	15	31	45	61	75	85	91	101	137	177	361	NA	18-281-04881-GER2110457	0
93	110	30	37	351	97.011602	44.787643	1810	FR	11	25	37	49	61	71	83	99	113	147	361	NA	18-281-04881-GER2110457	37
93	110	30	38	351	97.682123	44.583033	1790	FR	11	25	35	49	61	71	83	97	113	149	363	NA	18-281-04881-GER2110457	38
94	110	29	40	351	99.273666	44.099241	1743	FR	11	25	35	49	59	69	81	95	111	147	361	NA	18-281-04881-GER2110457	40
99	110	27.5	50	351	104.738966	42.482967	1586	FR	11	21	33	45	55	65	75	87	105	141	361	NA	18-281-04881-GER2110457	50
104	110	25	60	351	110.115143	41.195202	1433	FR	11	21	29	41	51	61	71	81	99	143	351	NA	18-281-04881-GER2110457	60
108	110	23	65	351	112.951916	38.474998	1335	FR	9	19	29	37	47	59	67	79	95	143	355	NA	18-281-04881-GER2110457	65
110	110	20	70	351	116.571429	36.179802	1225	FR	9	17	27	35	41	53	63	73	97	143	351	NA	18-281-04881-GER2110457	70
113	110	20	75	351	119.188532	35.50351	1158	FR	9	17	25	33	41	49	59	71	93	141	345	NA	18-281-04881-GER2110457	75
116	110	19	80	351	122.789623	34.705589	1067	FR	9	15	23	31	39	47	53	67	93	141	349	NA	18-281-04881-GER2110457	80
118.5	110	18.5	85	351	124.912612	34.316332	1014	FR	7	17	21	29	39	45	53	63	91	157	345	NA	18-281-04881-GER2110457	85
120	110	17	90	351	126.447479	32.782356	962	FR	9	15	21	27	35	43	53	59	89	163	343	NA	18-281-04881-GER2110457	90
124	110	15	95	351	129.268957	29.307507	861	FR	7	15	19	27	31	41	51	57	87	179	341	NA	18-281-04881-GER2110457	95
28	26	4	19	210	29.907348	8.776482	376	FR	3	5	5	7	9	11	15	61	171	233	339	NA	20-183-04384-GER2107105	0
94	37	40.5	37	210	102.897959	51.816387	98	FR	21	35	57	69	81	93	103	115	205	207	233	NA	20-183-04384-GER2107105	37
96	197	38	38	210	106.44086	50.81498	93	FR	19	31	57	69	77	89	99	111	201	203	229	NA	20-183-04384-GER2107105	38
97	197	37	40	210	107.934066	50.345871	91	FR	17	31	59	67	75	87	99	111	199	201	227	NA	20-183-04384-GER2107105	40
111	197	33	51	210	117.594937	46.973129	79	FR	25	35	43	57	67	85	101	121	171	173	199	NA	20-183-04384-GER2107105	50
118	197	30	60	210	121.783784	45.562623	74	FR	21	29	45	53	57	85	105	123	157	159	185	NA	20-183-04384-GER2107105	60
128	197	33	66	210	128.119403	43.188285	67	FR	9	25	35	41	67	91	115	123	137	139	165	NA	20-183-04384-GER2107105	65
129.5	197	33	71	210	133.016129	41.127348	62	FR	7	19	31	39	65	79	101	117	135	137	163	NA	20-183-04384-GER2107105	70
131	197	33.5	76	210	135.083333	40.175586	60	FR	7	15	27	41	67	79	97	113	131	133	159	NA	20-183-04384-GER2107105	75
133	197	31.5	82	210	137.068966	39.373543	58	FR	9	15	23	45	57	81	101	125	129	129	155	NA	20-183-04384-GER2107105	80
137	197	28	90	210	142.188679	37.274479	53	FR	7	15	19	29	57	83	91	117	121	121	147	NA	20-183-04384-GER2107105	85
137	197	28	90	210	142.188679	37.274479	53	FR	7	15	19	29	57	83	91	117	121	121	147	NA	20-183-04384-GER2107105	90
138	197	27	95	210	146.306122	35.717762	49	FR	5	13	17	25	55	81	87	117	119	119	145	NA	20-183-04384-GER2107105	95
27	26	2	20	60	27.308511	3.46727	190	FR	1	3	3	3	5	7	9	9	13	17	67	NA	19-084-03710-GER2213043	0
38	37	1	37	60	37.333333	0.57735	5	FR	1	1	3	3	3	3	45	45	45	45	45	NA	19-084-03710-GER2213043	37
60	60	0	38	60	52.666667	12.701706	3	FR	1	1	1	1	1	1	45	45	45	45	45	NA	19-084-03710-GER2213043	38
60	60	0	60	60	60	0	2	FR	1	1	1	1	1	1	1	1	1	1	1	NA	19-084-03710-GER2213043	40
60	60	0	60	60	60	0	2	FR	1	1	1	1	1	1	1	1	1	1	1	NA	19-084-03710-GER2213043	50
60	60	0	60	60	60	0	2	FR	1	1	1	1	1	1	1	1	1	1	1	NA	19-084-03710-GER2213043	60
26	26	2	20	201	26.488889	3.189064	701	FR	1	1	3	3	5	5	5	11	13	21	183	NA	19-246-04966-GER2110174	0
68	37	27	37	201	83.411765	42.021003	34	FR	15	17	29	49	55	63	71	109	137	195	267	NA	19-246-04966-GER2110174	37
